City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
390,acapulco,75,MX,1568656495,74,16.86,-99.88,86.0,6.93
391,geraldton,75,CA,1568656495,82,49.72,-86.95,64.4,2.24
392,kedrovyy,90,RU,1568656495,100,56.17,91.82,39.2,5.19
393,veraval,0,FR,1568656495,77,49.65,0.71,66.2,6.93
394,macon,40,US,1568656495,46,32.84,-83.63,96.01,8.05
395,tigre,0,AR,1568656496,39,-34.42,-58.58,68.0,5.82
396,axim,38,GH,1568656496,89,4.87,-2.24,77.17,13.06
397,yar-sale,35,RU,1568656496,86,66.83,70.83,42.25,7.16
398,lagoa,20,PT,1568656496,78,37.14,-8.45,80.01,5.82
399,kindu,100,CD,1568656497,94,-2.95,25.92,72.85,3.31
400,berlin,20,DE,1568656489,82,52.52,13.39,60.01,9.17
401,banda aceh,94,ID,1568656497,81,5.56,95.32,81.85,17.29
402,brae,20,GB,1568656497,70,60.4,-1.35,50.0,20.8
403,kulu,100,CD,1568656497,98,3.47,23.69,72.67,2.06
404,chapais,90,CA,1568656498,66,49.78,-74.86,53.6,8.05
405,alyangula,68,AU,1568656498,93,-13.85,136.42,60.8,2.24
406,horki,34,BY,1568656498,74,54.29,30.98,49.63,13.29
407,acaponeta,89,MX,1568656498,49,22.49,-105.36,95.53,2.42
408,nhamunda,78,BR,1568656498,31,-2.19,-56.71,99.67,4.14
409,riyadh,0,SA,1568656239,11,24.63,46.72,96.8,6.93
410,fuxin,0,CN,1568656499,59,42.02,121.65,48.37,2.53
411,oktyabrskoye,0,RU,1568656499,93,56.73,85.44,55.4,8.95
412,mopipi,0,BW,1568656499,14,-21.2,24.86,76.45,6.26
413,dali,100,CN,1568656499,82,34.79,109.94,64.75,2.51
414,sao filipe,29,CV,1568656500,85,14.9,-24.5,81.85,10.36
415,san patricio,4,PY,1568656500,23,-26.98,-56.83,101.47,9.4
416,vilyuysk,76,RU,1568656500,88,63.75,121.63,29.11,5.3
